start-date,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
201504,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201604,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201704,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201804,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201904,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202004,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202104,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202204,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199306,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199406,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199506,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199606,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199706,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199806,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199906,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200006,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200106,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200206,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200306,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200406,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200506,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200606,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200706,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200806,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200906,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201006,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201106,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201206,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201306,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201406,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201506,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201606,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201706,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201806,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201906,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202006,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202106,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202206,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199308,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199408,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199508,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199608,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199708,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199808,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199908,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200008,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200108,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200208,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200308,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200408,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200508,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200608,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200708,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200808,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200908,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201008,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201108,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201208,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201308,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201408,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201508,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201608,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201708,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201808,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201908,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202008,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202108,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202208,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199310,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199410,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199510,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199610,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199710,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199810,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199910,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200010,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200110,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200210,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200310,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200410,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200510,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200610,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200710,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200810,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200910,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201010,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201110,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201210,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201310,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201410,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201510,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201610,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201710,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201810,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201910,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202010,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202110,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202210,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199312,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199412,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199512,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199612,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199712,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199812,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199912,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200012,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200112,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200212,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200312,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200412,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200512,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200612,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200712,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200812,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200912,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201012,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201112,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201212,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201312,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201412,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201512,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201612,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201712,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201812,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201912,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202012,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202112,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202212,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
